Name,LibDockScore,ALogP,ALogP_MR,ES_Count_aaaC,ES_Count_aaCH,ES_Count_aaN,ES_Count_aaO,ES_Count_aasC,ES_Count_ddsN,ES_Count_dO,ES_Count_dssC,ES_Count_sCH3,ES_Count_sNH2,ES_Count_sOH,ES_Count_ssCH2,ES_Count_ssNH,ES_Count_ssO,ES_Count_sssCH,ES_Count_sssN,ES_Count_tCH,ES_Count_tsC,ES_Sum_aaaC,ES_Sum_aasC,ES_Sum_dssC,ES_Sum_sCH3,ES_Sum_ssCH2,ES_Sum_sssCH,LogD,Molecular_Mass,Molecular_Solubility,HBA_Count,NPlusO_Count,Num_AtomClasses,Num_Chains,Num_H_Donors_Lipinski,Num_H_Acceptors,Num_Hydrogens,Num_Rings4,Num_Rings5,Num_RotatableBonds,Molecular_FractionalPolarSASA,Molecular_FractionalPolarSurfaceArea,Molecular_PolarSASA,Molecular_PolarSurfaceArea,BIC,CHI_3_C,CHI_3_P,CHI_V_2,CHI_V_3_C,CHI_V_3_P,CIC,IAC_Mean,IAC_Total,IC,JX,Kappa_2,Kappa_3,SIC,Dipole_mag,Dipole_X,Dipole_Y,Dipole_Z,Jurs_DPSA_1,Jurs_DPSA_3,Jurs_FNSA_1,Jurs_FNSA_2,Jurs_FNSA_3,Jurs_FPSA_2,Jurs_FPSA_3,Jurs_PNSA_1,Jurs_PNSA_2,Jurs_PNSA_3,Jurs_PPSA_1,Jurs_PPSA_3,Jurs_RASA,Jurs_RNCG,Jurs_RNCS,Jurs_RPCG,Jurs_RPCS,Jurs_SASA,Jurs_TASA,Jurs_TPSA,Jurs_WNSA_1,Jurs_WNSA_2,Jurs_WNSA_3,Jurs_WPSA_1,Jurs_WPSA_3,Energy,Minimized_Energy,RadOfGyration,Strain_Energy,PMI_X,Shadow_nu,Shadow_Xlength,Shadow_XY,Shadow_XYfrac,Shadow_XZfrac,Shadow_Ylength,Shadow_YZ,Molecular_Volume
1ZINC000008215434,159.692,-4.779,164.805,0,3,2,0,6,0,3,5,2,0,8,3,1,4,7,0,0,0,0,2.189,-2.295,3.59,-2.718,-12.706,-3.79,784.149,-2.313,10,24,53,48,9,21,32,0,2,13,0.555,0.533,534.094,382.83,0.76867,6.11644,20.3985,15.0733,2.31528,11.0396,0.993,1.96804,167.284,4.73491,0.9678,17.0751,9.49667,0.82663,31.5919,25.74,5.47776,-17.4784,105.7,229.655,0.44908,-3.60945,-0.15606,3.87689,0.06516,466.198,-3746.95,-162.004,571.898,67.6508,0.45947,0.07427,0.20691,0.05698,0.11732,1038.1,476.979,561.116,483.958,-3889.69,-168.176,593.684,70.228,327.25,142.5,7.20461,184.75,1078.27,1.98667,24.8803,147.612,0.4725,0.47187,12.5561,96.3533,550.51
2ZINC000095617639,133.235,0.889,151.784,0,10,2,0,5,0,1,2,1,0,1,6,2,0,2,1,0,0,0,3.989,0.491,2.236,5.385,-0.464,0.547,513.285,-6.699,3,9,34,42,5,6,35,0,0,8,0.194,0.204,154.064,108.96,0.67981,2.1742,13.7522,9.93959,1.17385,7.09815,1.33565,1.5041,109.799,3.91227,1.18841,14.759,8.51191,0.74548,43.3468,16.6361,20.8349,-34.1773,545.393,86.2658,0.1898,-0.46209,-0.02794,3.59283,0.07019,166.86,-406.227,-24.5574,712.254,61.7084,0.83323,0.16252,4.28378,0.06341,0.3329,879.114,732.506,146.608,146.689,-357.12,-21.5888,626.152,54.2487,91.31,22.87,6.38012,68.44,787.532,2.3394,19.5498,134.852,0.45255,0.59936,15.2419,85.1121,410.22
3ZINC000008215403,132.299,-7.32,132.272,0,1,2,0,2,0,3,3,0,1,6,3,1,5,8,1,0,0,0,-0.086,-0.66,0,-1.613,-12.367,-6.389,663.109,0.8,8,21,44,41,8,18,27,0,3,11,0.597,0.569,489.207,339.34,0.78621,5.10012,16.7019,12.7749,1.87871,9.40369,0.86363,1.98671,141.057,4.59579,1.05095,14.2338,8.01373,0.8418,26.513,-19.3489,9.45154,-15.467,54.7133,214.551,0.46958,-3.54231,-0.18223,2.94037,0.05633,422.329,-3185.85,-163.888,477.043,50.6638,0.49921,0.07913,1.61103,0.07232,0.07445,899.372,448.98,450.392,379.831,-2865.26,-147.396,429.039,45.5656,216.64,91.84,6.08766,124.8,1089.28,2.10127,20.6,141.704,0.50529,0.5523,13.6134,86.6139,447.95
4ZINC000003914596,132,3.667,186.172,2,11,1,0,2,0,4,4,3,1,1,9,3,0,6,1,0,0,1.47,0.975,-2.106,5.872,5.952,-2.658,3.482,670.384,-8.816,5,11,45,61,6,7,50,0,0,13,0.273,0.237,266.654,166.75,0.70777,4.58525,16.6707,14.7071,2.71154,9.67345,1.34437,1.49063,147.573,4.27033,1.31373,18.8501,12,0.76056,2.0286,0.7442,0.39878,-1.84456,485.532,77.911,0.25417,-1.10253,-0.03898,3.23512,0.03991,251.013,-1088.81,-38.4893,736.546,39.4217,0.87483,0.08987,0.11555,0.06044,0.35036,987.559,863.947,123.612,247.891,-1075.26,-38.0104,727.382,38.9313,64.99,10.33,5.98623,54.66,953.821,1.98888,22.5285,165.485,0.52374,0.51451,14.0251,94.0943,544.68
5ZINC000014768621,131.938,-1.756,133.873,0,8,0,0,4,0,0,0,0,3,0,6,2,0,4,0,0,0,0,3.257,0,0,6.634,-0.617,-4.53,517.305,-6.784,0,10,30,50,19,5,43,0,0,17,0.293,0.356,204.421,196.2,0.57897,2.14029,9.99558,9.31597,0.98427,5.80965,1.98558,1.50501,115.886,3.10188,1.38128,17.4545,14.3703,0.60971,36.4292,-11.3864,-28.345,-19.8493,464.151,89.4687,0.21417,-0.42132,-0.01809,5.475,0.0921,173.895,-342.085,-14.6827,638.046,74.786,0.81593,0.14466,0.41133,0.03671,0,811.941,662.488,149.453,141.193,-277.753,-11.9215,518.056,60.7218,319.78,60.79,5.69667,258.99,472.342,2.1686,19.689,133.758,0.64029,0.61133,10.6101,60.846,408.51
6ZINC000011616925,130.443,-1.552,116.857,0,4,0,0,2,0,3,8,0,1,2,4,2,0,2,0,1,1,0,1.057,-1.966,0,0.201,-1.468,-1.507,475.16,-4.295,4,12,33,30,5,11,21,0,0,10,0.448,0.429,327.35,208.34,0.72906,2.6752,11.6825,7.70651,0.90075,5.22326,1.01456,1.7441,97.6702,4.11471,1.64665,14.2353,8.77198,0.8022,54.8681,12.024,-27.9143,-45.6807,37.4965,187.166,0.47608,-2.4163,-0.18953,1.61117,0.04918,373.296,-1894.59,-148.603,410.792,38.5631,0.62742,0.12604,5.69927,0.07918,0.03824,784.088,491.957,292.131,292.697,-1485.52,-116.518,322.097,30.2369,75.42,40.84,5.39761,34.58,558.256,2.45855,17.7342,122.58,0.51601,0.71819,13.395,67.5457,357.4
7ZINC000004215255,130.295,-5.115,150.284,0,6,1,0,3,0,7,7,0,0,3,8,2,0,4,2,0,0,0,-0.529,-4.584,0,3.238,-2.966,-5.239,673.139,-4.75,4,16,41,42,3,13,29,1,1,12,0.462,0.439,408.18,281.57,0.71224,4.53539,16.3474,13.765,1.92273,10.2417,1.25813,1.87926,140.945,4.26542,1.19381,16.3483,9.22415,0.77222,13.2557,-10.9866,7.04517,-2.31831,31.6571,275.302,0.48309,-4.00432,-0.25964,2.73389,0.03445,452.224,-3748.46,-243.047,483.882,32.2551,0.55937,0.18759,8.40179,0.31077,0.31992,936.106,523.638,412.468,423.33,-3508.96,-227.518,452.964,30.1942,203.5,119.38,6.19994,84.12,922.906,2.37242,21.9286,140.226,0.50596,0.60212,12.6385,83.148,477.11
8ZINC000002036915,129.607,-3.125,102.927,0,5,2,0,5,0,3,5,0,0,2,3,4,0,1,0,0,0,0,2.049,-3.161,0,-0.312,-1.301,-3.016,438.14,-2.157,3,13,30,26,6,10,18,0,0,9,0.539,0.497,354.774,218.92,0.68354,2.54599,10.7783,6.74522,0.75488,4.40029,1.24607,1.81627,90.8139,3.75392,1.52098,12.6301,8.03324,0.75078,48.1112,5.4801,-33.1841,-34.4016,24.0999,183.198,0.48273,-2.45888,-0.21221,1.6002,0.05024,336.961,-1716.35,-148.124,361.061,35.0741,0.56086,0.12559,5.81334,0.07871,0.1711,698.022,391.493,306.529,235.206,-1198.05,-103.394,252.028,24.4825,73.1,11.04,4.91941,62.06,412.005,1.91994,15.9315,97.7653,0.55446,0.67797,11.0676,63.0605,309.72
9ZINC000001536109,128.861,-1.552,116.857,0,4,0,0,2,0,3,8,0,1,2,4,2,0,2,0,1,1,0,1.065,-1.872,0,0.221,-1.458,-1.534,475.16,-4.332,4,12,33,30,5,11,21,0,0,10,0.448,0.429,327.35,208.34,0.72906,2.6752,11.6825,7.70855,0.90166,5.23293,1.01456,1.7441,97.6702,4.11471,1.65143,14.2353,8.77198,0.8022,44.3057,-8.70386,27.9227,33.2801,21.8388,187.762,0.48589,-2.46312,-0.19602,1.57794,0.04657,376.066,-1906.38,-151.713,397.905,36.0487,0.62326,0.12619,5.76012,0.07967,0.84673,773.971,482.386,291.585,291.064,-1475.49,-117.422,307.967,27.9007,71.58,28.67,4.79638,42.91,627.483,1.67324,16.015,114.231,0.51463,0.5859,13.8597,76.1975,353.63
10ZINC000095617641,128.388,3.724,149.82,0,9,1,0,7,0,1,2,2,0,1,6,2,0,0,2,0,0,0,5.674,0.697,4.153,5.75,0,3.576,513.285,-6.179,2,9,34,43,5,6,35,0,0,7,0.17,0.186,134.963,99.31,0.70725,2.53191,13.7775,9.906,1.22884,6.9025,1.17776,1.5041,109.799,4.07016,1.19351,14.2545,8.51191,0.77557,42.6732,-17.8375,22.6282,31.4768,509.328,79.5697,0.21184,-0.5011,-0.02796,3.44065,0.06207,187.216,-442.847,-24.7096,696.544,54.8601,0.8419,0.12843,0.58992,0.07052,0.20051,883.76,744.039,139.721,165.454,-391.37,-21.8374,615.577,48.4832,207.11,91.74,6.55649,115.37,623.821,2.84157,21.5986,138.391,0.4854,0.67331,13.1999,71.2925,410.22
Terazosin,83.968,1.38,105.175,2,2,2,0,4,0,1,1,2,1,0,7,0,3,1,2,0,0,1.409,2.116,0.09,3.158,4.975,-0.277,1.334,387.191,-2.073,6,9,11,31,2,8,25,1,3,4,0.219,0.255,132.816,103.04,0.69386,1.7309,10.8824,6.94718,0.72348,5.29804,1.17927,1.64458,87.1631,3.62808,1.44693,9.42768,4.54179,0.75469,2.85764,0.28497,2.771,0.63751,414.881,59.1014,0.17895,-0.47313,-0.04241,2.17068,0.04906,115.63,-305.702,-27.3968,530.51,31.7047,0.84908,0.13941,2.74857,0.09208,0.35584,646.14,548.625,97.5152,74.7129,-197.527,-17.7022,342.784,20.4856,89.81,43.08,4.86365,46.73,236.06,2.02812,16.7035,101.513,0.68015,0.60912,8.93515,54.3549,310.07
